OID,Station Name,Component Type,Component Description,Additional Information,High KV,Low KV,Tertiary KV,Units,Length,ISO Control,Group,T-Line Name,Rating Type,AMP Rating,Duration,Note #,Rating Type.1,AMP Rating.1,Duration.1,Note #.1,Rating Type.2,AMP Rating.2,Duration.2,Note #.2,Rating Type.3,AMP Rating.3,Duration.3,Note #.3,Rating Type.4,AMP Rating.4,MVA Rating,MVAr High,MVAr Low,Con,Duration.4,Note #.4,Mismatch,Type of Change
166653.0,SUB2,TERM,SUB1-SUB2 - CB 132,,,,,AMPS,,Y,,,SN (N),,0,27.0,SE (A),,4,27.0,WN (B),,0,27.0,WE (C),,4,27.0,,,,,,,,,Yes,"Updated: OID, Component Description, High KV, Group, AMP Rating, Duration, AMP Rating.1, Duration.1, AMP Rating.2, Duration.2, AMP Rating.3, Duration.3"
188242.0,SUB2,DISC,81,,60kV,,,AMPS,,Y,,,SN (N),3000.0,0,,SE (A),3000.0,0,,WN (B),3000.0,0,,WE (C),3000.0,0,,,,,,,,,,No,
188239.0,SUB2,DISC,83,,60kV,,,AMPS,,Y,,,SN (N),3000.0,0,,SE (A),3000.0,0,,WN (B),3000.0,0,,WE (C),3000.0,0,,,,,,,,,,No,
188246.0,SUB2,CT,CB 82,2000/5A set at 1000*2.00 TRF (2004) =2000A,60kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
188250.0,SUB2,CT,CB-102,1000/5A set at 1000*2.00 TRF (2004) =2000A,115kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
188251.0,SUB2,BUS,230 kV TRANSFER BUS,,230kV,,,AMPS,,Y,,,SN (N),2550.0,0,,SE (A),3150.0,4,,WN (B),3540.0,0,,WE (C),3960.0,4,,,,,,,,,,No,
188252.0,SUB2,CT,CB 412,2000/5A set at 2000*2.00 TRF (2011) =4000A,230kV,,,AMPS,,Y,,,SN (N),4000.0,0,,SE (A),4000.0,0,,WN (B),4000.0,0,,WE (C),4000.0,0,,,,,,,,,,No,
188253.0,SUB2,CT,CB 452,2000/5A set at 1600*2.00 TRF (2001) =3200A,230kV,,,AMPS,,Y,,,SN (N),3200.0,0,,SE (A),3200.0,0,,WN (B),3200.0,0,,WE (C),3200.0,0,,,,,,,,,,No,
188254.0,SUB2,CT,CB 462,2000/5A set at 2000*1.00 TRF (1988) =2000A,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
188255.0,SUB2,CT,CB 472,2000/5A set at 1600*1.00 TRF (1992) =1600A,230kV,,,AMPS,,Y,,,SN (N),1600.0,0,,SE (A),1600.0,0,,WN (B),1600.0,0,,WE (C),1600.0,0,,,,,,,,,,No,
188256.0,SUB2,CT,CB 482,2000/5A set at 2000*1.00 TRF (1992) =2000A,230kV,,,AMPS,,Y,,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
190667.0,SUB2,DISC,131,,115kV,,,AMPS,,Y,SUB1-SUB2,,SN (N),2000.0,0,,SE (A),2000.0,0,,WN (B),2000.0,0,,WE (C),2000.0,0,,,,,,,,,,No,
193696.0,SUB2,COND,BK 1 - 115kV BUS 1 To DISC 177,"3/4"" CU TUBE SCH 40 - INTERIOR RATING",115kV,,,AMPS,,Y,,,SN (N),725.0,0,,SE (A),915.0,4,,WN (B),1005.0,0,,WE (C),1150.0,4,,,,,,,,,,No,
193697.0,SUB2,COND,BK 1 - 115kV BUS 2 To DISC 179,"3/4"" CU TUBE SCH 40 - INTERIOR RATING",115kV,,,AMPS,,Y,,,SN (N),725.0,0,,SE (A),915.0,4,,WN (B),1005.0,0,,WE (C),1150.0,4,,,,,,,,,,No,
193699.0,SUB2,COND,BK 1 - DISC 171 To DISC 179,"3/4"" CU TUBE SCH 40 - INTERIOR RATING",115kV,,,AMPS,,Y,,,SN (N),725.0,0,,SE (A),915.0,4,,WN (B),1005.0,0,,WE (C),1150.0,4,,,,,,,,,,No,
193700.0,SUB2,COND,BK 1 - DISC 173 To CB 172,1-1113 AAC - COMPRESSION - INTERIOR RATING,115kV,,,AMPS,,Y,,,SN (N),975.0,0,,SE (A),1101.0,4,,WN (B),1378.0,0,,WE (C),1460.0,4,,,,,,,,,,No,
193689.0,SUB2,COND,BK 1 - DISC 171 To CB 172,1-1113 AAC - COMPRESSION - INTERIOR RATING,115kV,,,AMPS,,Y,,,SN (N),975.0,0,,SE (A),1101.0,4,,WN (B),1378.0,0,,WE (C),1460.0,4,,,,,,,,,,No,
193691.0,SUB2,COND,BK 1 - DISC 171 To DISC 175,BYPASS - 1-1113 AAC - COMPRESSION - INTERIOR RATING,115kV,,,AMPS,,Y,,,SN (N),975.0,0,,SE (A),1101.0,4,,WN (B),1378.0,0,,WE (C),1460.0,4,,,,,,,,,,No,
